,Voltages,Times
773,2.4e-05,1647452048.8714936
774,2.6e-05,1647452053.8714998
775,2.5e-05,1647452058.8714986
776,2.1e-05,1647452063.871517
777,2.1e-05,1647452068.8715277
778,2.2e-05,1647452073.8715105
779,2.1e-05,1647452078.8715122
780,1.9e-05,1647452083.871531
781,2.1e-05,1647452088.8714902
782,2e-05,1647452093.8715456
783,2.2e-05,1647452098.8714907
784,2.2e-05,1647452103.8715146
785,2.1e-05,1647452108.8714614
786,2.2e-05,1647452113.8715172
787,2.4e-05,1647452118.8715107
788,2.7e-05,1647452123.8693032
789,2.3e-05,1647452128.871516
790,2.3e-05,1647452133.871496
791,2.1e-05,1647452138.871517
792,1.8e-05,1647452143.8715374
793,2e-05,1647452148.8715246
